,price,weight,product_list,maker,brand,rating,review_cnt,foodtexture,id
14,34.99,0.825,holistic select chicken pate recipe grain-free ,Holistic Select,Holistic Select,4.9,22.0,pate,76631
15,11.76,0.825,pedigree choice cuts in gravy steak & vegetable flavor ,Pedigree,Pedigree,,,chunks in gravy,114316
16,26.33,0.825,evanger's super premium lamb & rice dinner ,Evanger's,Evanger's,4.6,28.0,pate,47331
17,16.99,0.825,blue buffalo wilderness trail trays chicken grill formula grain-free dog food trays,Blue Buffalo,Blue Buffalo,5.0,3.0,pate,114237
18,26.99,9.75,dogswell happy hips lamb & sweet potato stew recipe grain-free ,Dogswell,Dogswell,4.7,27.0,stew,47140
19,7.59,0.825,pedigree choice cuts senior morsels in sauce with chicken & rice wet dog food,Pedigree,Pedigree,4.5,6.0,chunks in gravy,114308
20,16.80,5.25,cesar classics pate porterhouse steak flavor dog food trays,Cesar,Cesar,5.0,11.0,pate,47085
21,15.65,0.825,hill's science diet adult small & toy breed savory chicken & vegetable stew dog food trays,Hill's Science Diet,Hill's,4.2,5.0,stew,133606
22,31.44,9.899999999999999,nature's logic canine turkey feast grain-free ,Nature's Logic,Nature's Logic,4.7,17.0,minced,94110
23,29.88,9.75,nulo freestyle salmon & chickpeas recipe grain-free ,Nulo,Nulo,4.9,11.0,pate,76751
24,28.68,9.899999999999999,health extension meaty mix beef grain-free ,Health Extension,Health Extension,4.8,17.0,pate,71311
25,30.99,9.524999999999999,newman's own organics grain-free 95% chicken dinner ,Newman's Own Organics,Newman's Own Organics,4.6,40.0,pate,59976
26,42.95,10.5,"weruva bed & breakfast with chicken,egg,& pumpkin in gravy grain-free ",Weruva,Weruva,4.7,27.0,chunks in gravy,55600
27,20.49,0.825,eukanuba adult lamb & rice formula ,Eukanuba,Eukanuba,4.7,13.0,minced,121994
28,23.88,0.825,nutro large breed puppy tender lamb recipe bites in gravy ,Nutro,Nutro,4.8,20.0,chunks in gravy,86753
29,23.59,9.75,"natural balance original ultra premium whole body health chicken,salmon & duck formula ",Natural Balance,Natural Balance,4.4,29.0,pate,48027
30,15.65,0.825,hill's science diet adult small & toy breed savory beef & vegetable stew dog food trays,Hill's Science Diet,Hill's,5.0,1.0,stew,133608
31,28.08,0.825,instinct by nature's variety limited ingredient diet grain-free lamb formula ,Instinct,Instinct,4.8,30.0,pate,120825
32,30.50,9.524999999999999,castor & pollux organix grain-free organic turkey & vegetable recipe adult ,Castor & Pollux,Castor & Pollux,4.9,9.0,pate,54990
33,24.99,9.899999999999999,eagle pack chicken formula ,Eagle Pack,Eagle Pack,4.7,20.0,pate,47193
34,10.80,0.825,purina bella chicken & smoked bacon flavors small breed dog food trays,Purina Bella,Purina,5.0,5.0,pate,110767
35,25.41,9.375,hill's science diet adult 7+ youthful vitality chicken & vegetable stew ,Hill's Science Diet,Hill's,5.0,4.0,stew,109444
36,34.68,9.600000000000001,party animal cocolicious 95% wholesome lamb grain-free ,Party Animal,Party Animal,4.9,7.0,pate,93280
37,30.02,0.825,nutro puppy tender beef & vegetable recipe bites in gravy dog food trays,Nutro,Nutro,4.7,17.0,stew,86739
38,31.44,0.825,merrick seasonals howl o’ ween stew grain-free ,Merrick,Merrick,5.0,3.0,stew,129172
39,21.48,0.825,nutro adult kitchen classics steamed fish & sweet potato dinner ,Nutro,Nutro,4.4,18.0,pate,86734
40,24.99,9.899999999999999,eagle pack lamb formula ,Eagle Pack,Eagle Pack,4.3,26.0,pate,47191
41,4.93,0.825,pedigree chopped ground dinner variety pack featuring bacon wet dog food,Pedigree,Pedigree,4.8,4.0,minced,123263
42,15.79,0.825,purina one smartblend true instinct classic ground with real beef & wild-caught salmon dog food,Purina ONE,Purina,5.0,2.0,minced,135640
43,18.72,0.825,merrick lil' plates grain-free surfin' & turfin' supper in gravy dog food trays,Merrick,Merrick,5.0,3.0,stew,117163
44,38.75,9.0,evanger's grain-free hand packed roasted whole chicken drummets dinner ,Evanger's,Evanger's,4.5,48.0,chunks in gravy,47330
45,10.92,0.825,"alpo prime cuts with beef,bacon & cheese in gravy ,13.2-oz,case of 12",ALPO,ALPO,5.0,3.0,chunks in gravy,100052
46,20.99,9.75,purina one smartblend true instinct tender cuts in gravy with real turkey & venison ,Purina ONE,Purina,5.0,7.0,chunks in gravy,102385
47,27.99,9.375,blue buffalo freedom grillers hearty turkey dinner grain-free ,Blue Buffalo,Blue Buffalo,4.9,10.0,chunks in gravy,75709
48,28.99,9.375,blue buffalo family favorite grain-free recipes mom's chicken pie ,Blue Buffalo,Blue Buffalo,4.7,10.0,stew,84988
49,18.72,2.625,merrick lil' plates grain-free teensy turducken in gravy dog food trays,Merrick,Merrick,4.2,4.0,stew,98915
50,21.99,9.899999999999999,nature's recipe senior lamb & rice recipe cuts in gravy stew ,Nature's Recipe,Nature's Recipe,4.2,28.0,stew,59586
51,16.80,5.25,cesar classics pate t-bone steak flavor dog food trays,Cesar,Cesar,4.8,13.0,pate,47086
52,9.49,0.825,pedigree choice cuts puppy morsels in sauce with chicken wet dog food,Pedigree,Pedigree,5.0,5.0,chunks in gravy,114297
53,21.24,9.524999999999999,whole earth farms grain-free puppy recipe ,Whole Earth Farms,Whole Earth Farms,4.5,36.0,pate,73947
54,39.99,8.25,blue buffalo wilderness small breed turkey & chicken grill grain-free ,Blue Buffalo,Blue Buffalo,4.7,22.0,pate,84984
55,28.99,9.375,blue buffalo family favorite grain-free recipes turducken ,Blue Buffalo,Blue Buffalo,4.6,19.0,stew,85002
56,18.72,2.625,merrick lil' plates grain-free petite pot pie in gravy dog food trays,Merrick,Merrick,4.6,18.0,stew,98909
57,29.61,0.825,evanger's organics cooked chicken grain-free ,Evanger's,Evanger's,4.7,49.0,pate,60001
58,18.48,9.75,iams proactive health puppy with chicken & rice pate ,Iams,Iams,4.7,14.0,pate,59828
59,24.99,0.825,dave's pet food restricted bland chicken & rice ,Dave's Pet Food,Dave's Pet Food,4.7,24.0,pate,136550
60,19.99,0.825,blue buffalo wilderness trail tubs red meat stew grain-free dog food trays,Blue Buffalo,Blue Buffalo,4.8,6.0,stew,114253
61,29.68,9.524999999999999,merrick seasonal grain-free star spangled supper recipe ,Merrick,Merrick,3.9,7.0,stew,77028
62,29.88,9.75,nulo freestyle turkey & sweet potato recipe grain-free ,Nulo,Nulo,4.9,10.0,pate,76745
63,33.99,9.375,wellness core hearty cuts in gravy chicken & turkey recipe grain-free ,Wellness,Wellness,4.4,15.0,chunks in gravy,95667
64,42.99,0.825,hill's prescription diet k/d kidney care + mobility care with chicken & vegetable stew ,Hill's Prescription Diet,Hill's,4.3,6.0,stew,122115
65,15.85,0.825,pedigree choice cuts in gravy with chicken & rice ,Pedigree,Pedigree,4.1,7.0,chunks in gravy,114241
66,24.99,9.75,canidae life stages lamb & rice formula ,CANIDAE,CANIDAE,4.8,16.0,pate,47025
67,46.95,14.0625,wellness complete health poultry lovers variety pack ,Wellness,Wellness,4.3,12.0,pate,102009
68,38.75,9.0,evanger's grain-free hand packed hunk of beef ,Evanger's,Evanger's,4.7,83.0,chunks in gravy,47327
69,31.44,9.524999999999999,merrick backcountry grain-free hearty salmon stew ,Merrick,Merrick,4.5,22.0,stew,86953
70,16.80,5.25,cesar savory delights pork tenderloin dog food trays,Cesar,Cesar,4.9,11.0,pate,86059
71,33.99,4.5,"wellness petite entrees casserole with tender chicken,green beans & carrots grain-free wet dog food",Wellness,Wellness,5.0,26.0,minced,76681
72,39.48,9.75,petkind tripett new zealand green lamb tripe grain-free ,PetKind,PetKind,4.9,57.0,pate,59464
73,25.75,9.375,blue buffalo basics limited ingredient grain-free turkey & potato recipe large breed ,Blue Buffalo,Blue Buffalo,4.7,15.0,pate,51931
74,8.63,0.825,"nutro max adult chicken,rice and turkey,beef and rice  variety pack",Nutro,Nutro,5.0,3.0,chunks in gravy,109435
75,23.33,9.75,canidae grain-free pure sea salmon & mackerel formula ,CANIDAE,CANIDAE,4.5,51.0,pate,51418
76,6.11,0.825,"blue buffalo earth's essentials harvest table chicken & quinoa recipe dog food roll,1-lb roll",Blue Buffalo,Blue Buffalo,4.5,2.0,pate,122556
77,34.05,9.899999999999999,"castor & pollux natural ultramix whole chicken thigh,fresh cut carrots & sweet potatoes entree grain-free adult ",Castor & Pollux,Castor & Pollux,4.6,39.0,stew,65670
78,16.80,5.25,cesar home delights  hearty chicken noodle dog food trays,Cesar,Cesar,4.9,14.0,chunks in gravy,86037
79,33.99,9.375,wellness venison & salmon stew with potatoes & carrots ,Wellness,Wellness,4.5,36.0,stew,49224
80,31.44,9.524999999999999,merrick limited ingredient diet grain-free real chicken stew ,Merrick,Merrick,4.6,12.0,pate,94153
81,23.99,8.25,"purina pro plan savor adult seared chicken,julienne carrots & barley entree in gravy ",Purina Pro Plan,Purina,4.9,9.0,chunks in gravy,67604
82,30.96,4.125,nature's recipe chicken & turkey recipe in broth wet dog food,Nature's Recipe,Nature's Recipe,5.0,11.0,bits in broth,80263
83,25.99,9.75,dave's pet food 95% premium meats grain-free chicken recipe ,Dave's Pet Food,Dave's Pet Food,4.5,31.0,pate,66532
84,40.99,10.5,weruva jammin' salmon with chicken & salmon in pumpkin soup grain-free ,Weruva,Weruva,4.8,29.0,chunks in gravy,55596
85,16.80,5.25,cesar classics pate with turkey dog food trays,Cesar,Cesar,4.6,12.0,pate,86440
86,12.33,3.5,pedigree choice cuts filet mignon flavor in gravy wet dog food,Pedigree,Pedigree,4.8,5.0,chunks in gravy,114170
87,25.61,9.524999999999999,newman's own organics turkey & chicken formula ,Newman's Own Organics,Newman's Own Organics,4.9,38.0,pate,48339
88,25.99,9.75,dave's pet food 95% premium meats grain-free turkey recipe ,Dave's Pet Food,Dave's Pet Food,4.7,30.0,pate,66539
89,21.48,4.125,halo holistic chicken recipe adult ,Halo,Halo,4.7,56.0,stew,47561
91,32.28,9.75,wild calling western plains 96% beef grain-free adult ,Wild Calling,Wild Calling,4.7,22.0,pate,77356
92,36.99,8.25,blue buffalo homestyle recipe small breed lamb dinner ,Blue Buffalo,Blue Buffalo,4.8,30.0,pate,51920
93,32.63,9.75,canidae grain-free pure land lamb formula ,CANIDAE,CANIDAE,4.7,22.0,pate,51414
94,32.99,10.05,purina pro plan veterinary diets low fat en gastroenteric formula ,Purina Pro Plan Veterinary Diets,Purina,4.6,5.0,minced,109580
95,16.99,0.825,blue buffalo divine delights gravy variety pack filet mignon & ny strip flavor dog food trays,Blue Buffalo,Blue Buffalo,3.0,1.0,chunks in gravy,114286
96,20.49,0.825,"eukanuba adult chicken,rice & vegetables dinner formula ",Eukanuba,Eukanuba,4.7,12.0,minced,121992
97,13.99,0.825,pedigree chopped ground dinner weight management chicken & rice ,Pedigree,Pedigree,4.7,3.0,minced,114347
98,14.04,0.825,pedigree chopped ground dinner with beef ,Pedigree,Pedigree,4.5,11.0,minced,114354
99,13.99,0.825,blue buffalo divine delights steak & egg flavor pate dog food trays,Blue Buffalo,Blue Buffalo,3.0,3.0,pate,114280
100,37.99,10.05,purina pro plan veterinary diets en gastroenteric naturals ,Purina Pro Plan Veterinary Diets,Purina,4.8,20.0,minced,89784
101,33.99,9.0,newman's own organics grain-free beef & liver ,Newman's Own Organics,Newman's Own Organics,4.4,75.0,pate,48332
102,28.99,9.375,blue buffalo family favorite grain-free recipes turkey day feast ,Blue Buffalo,Blue Buffalo,4.6,18.0,stew,85001
103,22.55,9.600000000000001,evanger's classic recipes beef grain-free ,Evanger's,Evanger's,4.6,51.0,pate,52653
104,33.99,9.375,"wellness core grain-free turkey,pork liver & duck formula ",Wellness,Wellness,4.8,46.0,pate,52027
105,31.44,9.524999999999999,merrick backcountry grain-free chunky venison & beef dinner in gravy ,Merrick,Merrick,4.8,20.0,chunks in gravy,94141
106,41.18,9.75,halo holistic garden of vegan recipe adult ,Halo,Halo,4.6,31.0,pate,63840
107,20.49,0.825,eukanuba adult mixed grill chicken & beef dinner in gravy formula ,Eukanuba,Eukanuba,4.2,9.0,chunks in gravy,121988
108,42.46,8.25,evanger's grain-free hand packed whole chicken thighs ,Evanger's,Evanger's,4.5,38.0,chunks in gravy,47333
109,27.05,8.7,hill's science diet small & toy breed puppy chicken & barley entree ,Hill's Science Diet,Hill's,4.7,9.0,minced,48947
111,17.04,2.0999999999999996,weruva dogs in the kitchen lamburgini with lamb & pumpkin au jus grain-free dog food pouches,Weruva,Weruva,4.9,20.0,pate,91012
112,16.99,2.25,blue buffalo basics limited ingredient grain-free salmon & potato small breed adult wet dog food,Blue Buffalo,Blue Buffalo,3.7,18.0,pate,88197
113,20.99,9.75,purina one smartblend true instinct classic ground with real turkey & venison ,Purina ONE,Purina,4.6,7.0,pate,102391
114,5.94,0.825,"royal canin toy & miniature poodle adult ,3.5-oz,pack of 4",Royal Canin,Royal Canin,4.7,14.0,pate,99667
115,21.48,0.825,nutro large breed puppy tender chicken & turkey recipe bites in gravy ,Nutro,Nutro,4.8,27.0,chunks in gravy,86749
116,24.98,0.825,cesar steak & poultry lover's variety pack dog food trays,Cesar,Cesar,5.0,4.0,"pate, chunks in gravy",128543
117,23.99,9.375,blue buffalo homestyle recipe large breed chicken dinner with garden vegetables ,Blue Buffalo,Blue Buffalo,4.8,22.0,pate,46833
118,17.28,8.25,mighty dog hearty pulled-style chicken dinner in gravy ,Mighty Dog,Mighty Dog,5.0,14.0,shredded,100680
119,10.79,4.6875,"nutro kitchen classics premium loaf variety pack: grass fed lamb & brown rice dinner and slow cooked chicken,rice & oatmeal dinner ",Nutro,Nutro,5.0,6.0,pate,109431
120,32.74,9.600000000000001,party animal cocolicious 95% organic turkey grain-free ,Party Animal,Party Animal,5.0,11.0,pate,93276
121,16.80,5.25,cesar sunrise breakfast with smoked bacon & egg dog food trays,Cesar,Cesar,4.8,13.0,pate,47094
122,10.68,0.825,pedigree puppy chopped ground dinner with lamb & rice ,Pedigree,Pedigree,5.0,4.0,minced,114380
123,35.88,9.75,zignature pork limited ingredient formula grain-free ,Zignature,Zignature,5.0,7.0,pate,113254
124,32.99,9.375,wellness complete health lamb & sweet potato formula ,Wellness,Wellness,4.6,31.0,pate,49213
125,10.58,0.825,purina beneful chopped blends variety pack wet dog food,Purina Beneful,Purina,,,shredded,131004
126,33.92,4.125,natural balance l.i.d. limited ingredient diets white fish & sweet potato formula flaked grain-free wet dog food,Natural Balance,Natural Balance,4.3,12.0,flaked,95639
127,15.24,9.75,purina one smartblend classic ground lamb & long grain rice entree adult ,Purina ONE,Purina,5.0,12.0,pate,91725
128,21.49,0.825,nutro adult kitchen classics  healthy dinner with lamb & vegetables ,Nutro,Nutro,4.5,28.0,pate,86741
129,18.96,9.75,purina pro plan focus adult large breed chicken & rice entree chunks in gravy ,Purina Pro Plan,Purina,4.2,13.0,chunks in gravy,67450
130,6.79,0.825,"blue buffalo earth's essentials pacific grill salmon & lentil recipe dog food roll,1-lb roll",Blue Buffalo,Blue Buffalo,4.0,5.0,pate,122553
131,24.99,0.825,evanger's super premium chicken dinner grain-free ,Evanger's,Evanger's,4.6,46.0,pate,59998
132,18.99,8.25,mighty dog hearty pulled-style in gravy variety pack ,Mighty Dog,Mighty Dog,4.8,13.0,shredded,100682
133,29.88,9.899999999999999,dave's pet food restricted diet protein & phosphorus farmyard blend in sauce grain-free ,Dave's Pet Food,Dave's Pet Food,4.2,43.0,pate,73714
134,22.24,5.0,purina pro plan bright mind adult 7+ beef & brown rice entree wet dog food,Purina Pro Plan,Purina,4.7,16.0,chunks in gravy,93815
135,19.28,0.825,eukanuba adult beef & vegetable stew ,Eukanuba,Eukanuba,4.7,13.0,stew,121984
136,8.38,2.625,cesar classics pate beef and chicken & liver multipack dog food trays,Cesar,Cesar,4.9,18.0,pate,93942
137,30.63,9.899999999999999,merrick classic grain-free brauts-n-tots recipe ,Merrick,Merrick,4.5,59.0,chunks in gravy,47860
138,10.99,0.825,pedigree chunky ground dinner with turkey & bacon ,Pedigree,Pedigree,4.0,1.0,minced,114373
139,29.52,9.524999999999999,castor & pollux organix grain-free butcher & bushel organic chicken wing & thigh dinner in gravy adult ,Castor & Pollux,Castor & Pollux,3.7,49.0,chunks in gravy,65662
140,32.79,8.25,hill's science diet adult 7+ small & toy breed youthful vitality chicken & vegetable stew ,Hill's Science Diet,Hill's,4.8,5.0,stew,109446
141,17.49,9.75,chicken soup for the soul puppy ,Chicken Soup,Chicken Soup,4.9,49.0,pate,91999
142,30.50,9.524999999999999,castor & pollux organix grain-free butcher & bushel organic carved turkey dinner in gravy adult ,Castor & Pollux,Castor & Pollux,4.4,28.0,chunks in gravy,65664
143,32.99,9.375,wellness simple limited ingredient diet duck & oatmeal formula ,Wellness,Wellness,4.6,23.0,pate,51714
144,22.56,0.825,"purina beyond grain-free chicken,lamb & spinach recipe ground entree ",Purina Beyond,Purina,4.8,9.0,pate,111056
145,22.55,9.600000000000001,evanger's classic recipes beef with chicken & liver grain-free ,Evanger's,Evanger's,4.7,66.0,pate,50795
146,6.11,0.825,"blue buffalo earth's essentials mountaintop medley lamb & barley recipe dog food roll,1-lb roll",Blue Buffalo,Blue Buffalo,5.0,1.0,pate,122558
147,32.99,9.375,wellness simple limited ingredient diet lamb & oatmeal formula ,Wellness,Wellness,4.7,37.0,pate,51715
148,33.92,4.125,natural balance delectable delights duck'en-itas grain-free wet dog food,Natural Balance,Natural Balance,4.8,12.0,stew,95645
149,33.48,9.899999999999999,solid gold green cow tripe in beef broth grain-free ,Solid Gold,Solid Gold,4.6,59.0,minced,86568
150,46.95,10.5,"weruva wok the dog with chicken,beef & pumpkin in gravy grain-free ",Weruva,Weruva,4.7,38.0,chunks in gravy,55592
151,16.80,5.25,cesar gourmet filets in sauce filet mignon flavor dog food trays,Cesar,Cesar,4.8,20.0,chunks in gravy,47080
153,18.72,2.625,merrick lil' plates grain-free pint-sized puppy plate in gravy dog food trays,Merrick,Merrick,4.8,14.0,stew,102376
154,5.94,0.825,"royal canin dachshund adult ,3.5-oz,pack of 4",Royal Canin,Royal Canin,4.5,21.0,pate,99665
155,31.44,9.899999999999999,nature's logic canine chicken feast grain-free ,Nature's Logic,Nature's Logic,4.6,36.0,minced,54303
156,10.79,4.6875,nutro hearty stews chunks in gravy variety pack: meaty lamb & rice stew and chunky chicken & turkey stew ,Nutro,Nutro,3.7,6.0,chunks in gravy,109433
157,29.99,9.375,blue buffalo wilderness wolf creek stew savory salmon stew grain-free adult ,Blue Buffalo,Blue Buffalo,5.0,10.0,stew,75788
158,33.99,9.375,wellness core grain-free puppy formula ,Wellness,Wellness,4.6,41.0,pate,52022
159,42.49,9.375,hill's prescription diet derm defense environmental sensitivities chicken & vegetable stew ,Hill's Prescription Diet,Hill's,4.9,14.0,stew,94179
160,28.33,6.0,natural balance delectable delights gobbler cobbler stew grain-free wet dog food,Natural Balance,Natural Balance,4.6,23.0,stew,52476
161,9.20,0.825,"alpo prime cuts london grill & wholesome veggie accents in gravy ,13.2-oz,case of 12",ALPO,ALPO,4.6,8.0,chunks in gravy,100068
162,40.60,0.825,royal canin healthy development small breed puppy dog food trays,Royal Canin,Royal Canin,4.9,22.0,pate,90386
163,30.00,0.825,nutro puppy tender chicken & rice recipe bites in gravy dog food trays,Nutro,Nutro,4.8,24.0,stew,86748
164,33.99,9.375,wellness core grain-free hearty cuts in gravy beef & venison recipe ,Wellness,Wellness,4.7,15.0,chunks in gravy,95665
165,23.40,9.375,blue buffalo wilderness trout & chicken grill grain-free ,Blue Buffalo,Blue Buffalo,4.6,27.0,pate,85004
166,18.32,4.0,earthborn holistic duke's din-din grain-free natural moist dog food,Earthborn Holistic,Earthborn Holistic,4.7,25.0,shredded,52815
167,33.99,9.375,wellness turkey stew with barley & carrots ,Wellness,Wellness,4.7,47.0,stew,49223
168,2.50,0.825,"purina beneful medleys mediterranean style ,3-oz,pack of 3",Purina Beneful,Purina,4.8,5.0,stew,100108
169,25.99,9.75,dave's pet food 95% premium meats grain-free beef recipe ,Dave's Pet Food,Dave's Pet Food,4.5,34.0,pate,66529
170,16.99,0.825,blue buffalo wilderness trail trays beef grill formula grain-free dog food trays,Blue Buffalo,Blue Buffalo,5.0,2.0,pate,114235
171,18.23,9.600000000000001,evanger's classic recipes senior & weight management dinner ,Evanger's,Evanger's,4.5,28.0,pate,52652
172,22.55,9.600000000000001,evanger's classic recipes chicken & rice ,Evanger's,Evanger's,4.9,41.0,pate,47324
173,47.88,9.75,zignature venison limited ingredient formula grain-free ,Zignature,Zignature,4.9,15.0,pate,113252
174,16.80,5.25,cesar classics pate with duck dog food trays,Cesar,Cesar,4.9,14.0,pate,86438
175,16.80,5.25,cesar classics pate with lamb dog food trays,Cesar,Cesar,4.8,12.0,pate,47089
176,22.24,5.0,purina pro plan bright mind adult 7+ turkey & brown rice entree wet dog food,Purina Pro Plan,Purina,4.7,15.0,chunks in gravy,93817
177,18.32,4.0,earthborn holistic toby's turkey dinner grain-free natural moist dog food,Earthborn Holistic,Earthborn Holistic,4.7,33.0,shredded,52819
178,21.63,9.75,iams proactive health senior with slow cooked chicken & rice ,Iams,Iams,4.9,15.0,pate,47672
179,32.99,9.375,blue buffalo basics limited ingredient grain-free duck & potato adult ,Blue Buffalo,Blue Buffalo,5.0,9.0,pate,88176
180,11.99,0.825,"caru free range chicken bone broth for dogs & cats,1.1-lb box",Caru,Caru,4.2,13.0,bits in broth,121487
181,8.38,2.625,cesar puppy pate multipack dog food trays,Cesar,Cesar,4.3,16.0,pate,86456
182,29.94,0.825,instinct by nature's variety limited ingredient diet grain-free rabbit formula ,Instinct,Instinct,4.7,23.0,pate,120826
183,31.44,9.524999999999999,merrick backcountry grain-free hearty duck & venison stew ,Merrick,Merrick,4.7,15.0,stew,86955
184,23.64,9.375,nutro ultra weight management chunks in gravy ,Nutro Ultra,Nutro,4.9,67.0,chunks in gravy,48374
185,18.72,2.625,merrick lil' plates grain-free tiny thanksgiving day dinner in gravy dog food trays,Merrick,Merrick,4.3,21.0,stew,98904
186,31.44,9.524999999999999,merrick limited ingredient diet grain-free real turkey recipe ,Merrick,Merrick,4.6,21.0,pate,87335
187,38.92,10.5,weruva funky chunky chicken soup with pumpkin grain-free ,Weruva,Weruva,4.7,37.0,chunks in gravy,55588
188,33.99,9.375,wellness lamb & beef stew with brown rice & apples ,Wellness,Wellness,4.6,49.0,stew,49212
189,23.88,9.75,canidae life stages all life stages formula ,CANIDAE,CANIDAE,4.7,43.0,pate,47053
190,26.33,0.825,evanger's super premium beef dinner grain-free ,Evanger's,Evanger's,4.6,58.0,pate,47329
191,40.60,0.825,royal canin beauty adult healthy skin & coat small breed dog food trays,Royal Canin,Royal Canin,5.0,8.0,pate,90388
192,13.99,0.825,blue buffalo divine delights roasted turkey flavor pate dog food trays,Blue Buffalo,Blue Buffalo,4.1,7.0,pate,114275
193,24.98,0.825,cesar poultry lover's variety pack dog food trays,Cesar,Cesar,5.0,5.0,"pate, chunks in gravy",128541
194,2.50,0.825,"purina beneful medleys romana style ,3-oz,pack of 3",Purina Beneful,Purina,4.5,10.0,stew,100121
195,16.80,5.25,cesar savory delights ham & egg dog food trays,Cesar,Cesar,4.7,16.0,pate,86057
196,29.52,9.524999999999999,castor & pollux organix grain-free butcher & bushel organic chopped turkey & chicken dinner adult ,Castor & Pollux,Castor & Pollux,4.5,30.0,chunks in gravy,65660
197,50.14,0.825,royal canin veterinary diet recovery rs canned dog & cat food,Royal Canin Veterinary Diet,Royal Canin,5.0,44.0,pate,48816
198,21.49,0.825,nutro adult kitchen classics rustic chicken & vegetable dinner ,Nutro,Nutro,4.7,35.0,pate,86735
199,21.19,8.25,purina pro plan focus puppy classic chicken & brown rice entree ,Purina Pro Plan,Purina,4.7,17.0,pate,67444
200,26.33,0.825,evanger's super premium duck & sweet potato dinner ,Evanger's,Evanger's,4.6,72.0,pate,47328
201,8.88,0.825,"alpo prime cuts with beef in gravy ,13.2-oz,case of 12",ALPO,ALPO,4.6,9.0,chunks in gravy,100045
202,14.47,2.0999999999999996,weruva dogs in the kitchen fowl ball with chicken breast & turkey au jus grain-free dog food pouches,Weruva,Weruva,4.6,13.0,bits in broth,91006
203,16.80,5.25,cesar senior with chicken & rice dog food trays,Cesar,Cesar,4.8,35.0,pate,47091
204,16.99,0.825,blue buffalo wilderness trail trays variety pack with duck & chicken formula grain-free dog food trays,Blue Buffalo,Blue Buffalo,5.0,1.0,pate,114245
205,19.98,9.75,purina one smartblend tender cuts in gravy beef & barley entree adult ,Purina ONE,Purina,5.0,5.0,chunks in gravy,91565
206,31.44,9.899999999999999,merrick grain-free 96% real duck ,Merrick,Merrick,4.7,40.0,pate,52278
207,18.72,2.625,merrick lil' plates grain-free itsy bitsy beef stew dog food trays,Merrick,Merrick,4.7,18.0,stew,98907
208,16.80,5.25,cesar savory delights rotisserie chicken dog food trays,Cesar,Cesar,4.9,19.0,pate,86049
209,11.79,4.0,redbarn naturals lamb recipe dog food roll,Redbarn,Redbarn,4.4,79.0,pate,60799
210,13.99,0.825,blue buffalo divine delights grilled chicken flavor pate dog food trays,Blue Buffalo,Blue Buffalo,4.5,6.0,pate,114266
211,27.76,9.375,blue buffalo freedom grillers hearty lamb dinner grain-free ,Blue Buffalo,Blue Buffalo,4.4,18.0,chunks in gravy,75707
212,8.38,2.625,cesar classics pate beef & poultry multipack dog food trays,Cesar,Cesar,5.0,20.0,pate,86452
213,33.99,4.5,"wellness petite entrees mini-filets with tender turkey,green beans & white sweet potatoes in gravy grain-free wet dog food",Wellness,Wellness,4.8,23.0,chunks in gravy,76675
214,20.58,0.825,instinct by nature's variety limited ingredient diet grain-free turkey formula ,Instinct,Instinct,4.7,37.0,pate,120827
215,19.38,0.825,instinct by nature's variety grain-free beef formula ,Instinct,Instinct,4.6,57.0,pate,120818
216,31.44,9.524999999999999,merrick backcountry grain-free hearty chicken thigh stew ,Merrick,Merrick,4.6,29.0,stew,86949
